year,team,conference,wins,losses,bowl_game,average_attendance,total_revenue,total_expense
2005,Air Force,Mountain West,4.0,7.0,False,0.0,15481081.0,14330645.0
2006,Air Force,Mountain West,4.0,8.0,False,36962.75,27085224.0,26606845.0
2007,Air Force,Mountain West,9.0,4.0,True,39537.66666666666,29024404.0,28064038.0
2008,Air Force,Mountain West,8.0,5.0,True,32452.666666666668,30604249.0,31174646.0
2009,Air Force,Mountain West,8.0,5.0,True,0.0,33616930.0,34945674.0
2010,Air Force,Mountain West,9.0,4.0,True,0.0,34915251.0,35081470.0
2011,Air Force,Mountain West,7.0,6.0,True,0.0,39823782.0,39430241.0
2012,Air Force,Mountain West,6.0,7.0,True,37125.25,44490055.0,43156740.0
2013,Air Force,Mountain West,2.0,10.0,False,30398.33333333333,39031348.0,39497086.0
2014,Air Force,Mountain West,10.0,3.0,True,24054.58333333333,46577840.0,41438813.0
2015,Air Force,Mountain West,8.0,6.0,True,29862.23076923077,50191669.0,43481337.0
2016,Air Force,Mountain West,10.0,3.0,True,27097.916666666668,,
2017,Air Force,Mountain West,5.0,7.0,False,35821.666666666664,59577780.0,50112617.0
2018,Air Force,Mountain West,5.0,7.0,False,25808.416666666668,60101907.0,53530468.0
2019,Air Force,Mountain West,11.0,2.0,True,29063.08333333333,60009782.0,54192115.0
2020,Air Force,Mountain West,3.0,3.0,False,1655.1666666666667,65517457.0,61445937.0
2021,Air Force,Mountain West,10.0,3.0,True,24573.166666666668,65914558.0,58680602.0
2022,Air Force,Mountain West,10.0,3.0,True,25737.166666666668,76587462.0,67422052.0
2023,Air Force,Mountain West,9.0,4.0,True,27453.916666666668,76587462.0,67422052.0
2005,Akron,Mid-American,7.0,6.0,True,0.0,14021914.0,13896456.0
2006,Akron,Mid-American,5.0,7.0,False,28205.08333333333,15301573.0,15751464.0
2007,Akron,Mid-American,4.0,8.0,False,16450.166666666668,17308323.0,16992718.0
2008,Akron,Mid-American,5.0,7.0,False,22617.166666666668,18711948.0,18858092.0
2009,Akron,Mid-American,3.0,9.0,False,0.0,20670298.0,20124113.0
2010,Akron,Mid-American,1.0,11.0,False,0.0,24012416.0,24498336.0
2011,Akron,Mid-American,1.0,11.0,False,0.0,25583730.0,25344459.0
2012,Akron,Mid-American,1.0,11.0,False,18468.666666666668,27217473.0,27225730.0
2013,Akron,Mid-American,5.0,7.0,False,25113.08333333333,27954164.0,28407737.0
2014,Akron,Mid-American,5.0,7.0,False,19097.58333333333,32774266.0,32050686.0
2015,Akron,Mid-American,8.0,5.0,True,22179.416666666668,31771467.0,34070009.0
2016,Akron,Mid-American,5.0,7.0,False,18962.75,34587155.0,35378884.0
2017,Akron,Mid-American,7.0,7.0,True,25196.53846153846,35331217.0,33895809.0
2018,Akron,Mid-American,4.0,8.0,False,25304.83333333333,34601000.0,34873226.0
2019,Akron,Mid-American,0.0,12.0,False,17366.0,37194485.0,37275978.0
2020,Akron,Mid-American,1.0,5.0,False,278.6666666666667,34130530.0,33564968.0
2021,Akron,Mid-American,2.0,10.0,False,24052.416666666668,26562185.0,25667906.0
2022,Akron,Mid-American,2.0,10.0,False,18926.81818181818,30498496.0,30290134.0
2023,Akron,Mid-American,2.0,10.0,False,16826.25,30498496.0,30290134.0
2005,Alabama,SEC,10.0,2.0,True,0.0,62287192.0,56989608.0
2006,Alabama,SEC,6.0,7.0,True,91812.08333333331,67730762.0,60636961.0
2007,Alabama,SEC,7.0,6.0,True,81131.75,87589777.0,77106548.0
2008,Alabama,SEC,12.0,2.0,True,88861.0,123769841.0,123370004.0
2009,Alabama,SEC,14.0,0.0,True,0.0,100302512.0,90868971.0
2010,Alabama,SEC,10.0,3.0,True,0.0,130542153.0,98961214.0
2011,Alabama,SEC,12.0,1.0,True,0.0,124498616.0,105068152.0
2012,Alabama,SEC,13.0,1.0,True,93810.69230769233,124899945.0,108204867.0
2013,Alabama,SEC,11.0,2.0,True,90481.91666666669,143776550.0,116607913.0
2014,Alabama,SEC,12.0,2.0,True,91823.30769230767,153234273.0,120184128.0
2015,Alabama,SEC,14.0,1.0,True,91980.76923076923,148911674.0,132354913.0
2016,Alabama,SEC,14.0,1.0,True,87214.61538461539,164009745.0,145277366.0
2017,Alabama,SEC,13.0,1.0,True,89882.16666666667,174307419.0,158646962.0
2018,Alabama,SEC,14.0,1.0,True,90204.07692307692,177481937.0,166533013.0
2019,Alabama,SEC,11.0,2.0,True,92791.16666666669,164090889.0,185317681.0
2020,Alabama,SEC,13.0,0.0,True,18367.272727272728,189282549.0,173141125.0
2021,Alabama,SEC,13.0,2.0,True,90757.3846153846,179800409.0,170191728.0
2022,Alabama,SEC,11.0,2.0,True,95318.41666666669,214365357.0,195881911.0
2023,Alabama,SEC,12.0,2.0,True,89399.07692307692,199913763.0,212030188.0
2005,App State,Southern,10.0,3.0,False,45707.0,7634231.0,8011932.0
2006,App State,Southern,12.0,1.0,False,57583.0,9110063.0,9042340.0
2007,App State,Southern,11.0,2.0,False,109218.0,10485631.0,10513168.0
2008,App State,Southern,11.0,3.0,False,91922.0,13208247.0,13687188.0
2009,App State,Southern,11.0,2.0,False,0.0,15236543.0,15785349.0
2010,App State,Southern,10.0,2.0,False,0.0,15865704.0,16185310.0
2011,App State,Southern,8.0,4.0,False,0.0,17748605.0,15454170.0
2012,App State,Southern,8.0,4.0,False,49023.0,18644606.0,17238578.0
2013,App State,Southern,4.0,8.0,False,92746.0,19775727.0,21395675.0
2014,App State,Sun Belt,7.0,5.0,False,29041.25,19414754.0,19320283.0
2015,App State,Sun Belt,11.0,2.0,True,22888.916666666668,29695016.0,30648792.0
2016,App State,Sun Belt,10.0,3.0,True,28308.166666666668,31712155.0,31523281.0
2017,App State,Sun Belt,9.0,4.0,True,25799.666666666668,35058621.0,35065566.0
2018,App State,Sun Belt,11.0,2.0,True,26771.5,36940867.0,36853981.0
2019,App State,Sun Belt,13.0,1.0,True,28759.0,37996512.0,37773447.0
2020,App State,Sun Belt,9.0,3.0,True,3998.727272727273,34946428.0,34999267.0
2021,App State,Sun Belt,10.0,4.0,True,27122.153846153848,33202111.0,33425114.0
2022,App State,Sun Belt,6.0,6.0,False,36021.545454545456,38542661.0,38565701.0
2023,App State,Sun Belt,9.0,5.0,True,29252.846153846152,46465570.0,46379642.0
2005,Arizona,Pac-10,3.0,8.0,False,4975.272727272727,39655034.0,40760160.0
2006,Arizona,Pac-10,6.0,6.0,False,56743.083333333336,42303655.0,40479457.0
2007,Arizona,Pac-10,5.0,7.0,False,57624.91666666666,47519159.0,43267008.0
2008,Arizona,Pac-10,8.0,5.0,True,48168.91666666666,49241506.0,46211393.0
2009,Arizona,Pac-10,8.0,5.0,True,0.0,53372629.0,53177538.0
2010,Arizona,Pac-10,7.0,6.0,True,0.0,58118950.0,56919148.0
2011,Arizona,Pac-12,4.0,8.0,False,0.0,59663128.0,58506308.0
2012,Arizona,Pac-12,8.0,5.0,True,51391.083333333336,78024219.0,76802678.0
2013,Arizona,Pac-12,8.0,5.0,True,49649.0,68510915.0,68253136.0
2014,Arizona,Pac-12,10.0,4.0,True,49932.07692307692,99911034.0,95524260.0
2015,Arizona,Pac-12,7.0,6.0,True,51412.25,87135331.0,80706045.0
2016,Arizona,Pac-12,3.0,9.0,False,47590.083333333336,85356236.0,87254614.0
2017,Arizona,Pac-12,7.0,6.0,True,45569.5,90976758.0,91756963.0
2018,Arizona,Pac-12,5.0,7.0,False,42212.91666666666,95867717.0,103329464.0
2019,Arizona,Pac-12,4.0,8.0,False,42165.75,105091389.0,100565835.0
2020,Arizona,Pac-12,0.0,5.0,False,50.6,97814344.0,101084625.0
2021,Arizona,Pac-12,1.0,11.0,False,40921.083333333336,101776916.0,93431241.0
2022,Arizona,Pac-12,5.0,7.0,False,45022.083333333336,124353539.0,124944926.0
2023,Arizona,Pac-12,10.0,3.0,True,47407.25,143089052.0,142814430.0
2005,Arizona State,Pac-10,7.0,5.0,True,0.0,41334126.0,39749018.0
2006,Arizona State,Pac-10,7.0,6.0,True,51725.583333333336,50268561.0,48897603.0
2007,Arizona State,Pac-10,10.0,3.0,True,54492.41666666666,54735433.0,54832410.0
2008,Arizona State,Pac-10,5.0,7.0,False,62495.0,54833194.0,54296003.0
2009,Arizona State,Pac-10,4.0,8.0,False,0.0,51892026.0,53032149.0
2010,Arizona State,Pac-10,6.0,6.0,False,0.0,56505165.0,57905546.0
2011,Arizona State,Pac-12,6.0,7.0,True,0.0,55294113.0,57080884.0
2012,Arizona State,Pac-12,8.0,5.0,True,57236.66666666666,59855508.0,65587903.0
2013,Arizona State,Pac-12,10.0,4.0,True,58063.38461538462,65673955.0,65600187.0
2014,Arizona State,Pac-12,10.0,3.0,True,53229.25,74729269.0,74553104.0
2015,Arizona State,Pac-12,6.0,7.0,True,53327.91666666666,84440040.0,83873516.0
2016,Arizona State,Pac-12,5.0,7.0,False,50401.333333333336,94662743.0,89086777.0
2017,Arizona State,Pac-12,7.0,6.0,True,49866.833333333336,101579860.0,98825395.0
2018,Arizona State,Pac-12,7.0,6.0,True,49942.41666666666,113636755.0,126782387.0
2019,Arizona State,Pac-12,8.0,5.0,True,48534.75,121698840.0,118404377.0
2020,Arizona State,Pac-12,2.0,2.0,False,0.0,106989879.0,117912821.0
2021,Arizona State,Pac-12,8.0,5.0,True,47665.75,117675310.0,103772499.0
2022,Arizona State,Pac-12,3.0,9.0,False,42905.75,121079615.0,124008192.0
2023,Arizona State,Pac-12,3.0,9.0,False,50169.0,114507872.0,141717696.0
2005,Arkansas,SEC,4.0,7.0,False,14470.0,47322459.0,45916377.0
2006,Arkansas,SEC,10.0,4.0,True,66493.76923076923,49514971.0,48736994.0
2007,Arkansas,SEC,8.0,5.0,True,72511.16666666667,65416732.0,62169914.0
2008,Arkansas,SEC,5.0,7.0,False,70331.75,66174916.0,64632499.0
2009,Arkansas,SEC,8.0,5.0,True,0.0,65835778.0,64609733.0
2010,Arkansas,SEC,10.0,3.0,True,0.0,78072620.0,71801905.0
2011,Arkansas,SEC,11.0,2.0,True,0.0,91768112.0,79392988.0
2012,Arkansas,SEC,4.0,8.0,False,69606.25,99757482.0,82470473.0
2013,Arkansas,SEC,3.0,9.0,False,68793.25,99770840.0,92131933.0
2014,Arkansas,SEC,7.0,6.0,True,61649.083333333336,96793972.0,94640408.0
2015,Arkansas,SEC,8.0,5.0,True,75340.25,114172847.0,97106539.0
2016,Arkansas,SEC,7.0,6.0,True,66661.75,124981042.0,105633576.0
2017,Arkansas,SEC,4.0,8.0,False,70225.33333333333,129680808.0,112902474.0
2018,Arkansas,SEC,2.0,10.0,False,58408.75,130126110.0,127369722.0
2019,Arkansas,SEC,2.0,10.0,False,59528.25,137497788.0,129620361.0
2020,Arkansas,SEC,3.0,7.0,False,16816.2,123357572.0,123857351.0
2021,Arkansas,SEC,9.0,4.0,True,72090.0,132396607.0,111597676.0
2022,Arkansas,SEC,7.0,6.0,True,69707.33333333333,152513755.0,144319041.0
2023,Arkansas,SEC,4.0,8.0,False,72659.16666666667,167366549.0,166552649.0
2005,Arkansas State,Sun Belt,6.0,6.0,True,1561.2727272727273,7214040.0,9424316.0
2006,Arkansas State,Sun Belt,6.0,6.0,False,22712.58333333333,7821660.0,10416949.0
2007,Arkansas State,Sun Belt,5.0,7.0,False,29156.916666666668,7827764.0,10392939.0
2008,Arkansas State,Sun Belt,6.0,6.0,False,30625.666666666668,8392852.0,10388098.0
2009,Arkansas State,Sun Belt,4.0,8.0,False,0.0,9975076.0,11051532.0
2010,Arkansas State,Sun Belt,4.0,8.0,False,0.0,9478903.0,13332956.0
2011,Arkansas State,Sun Belt,10.0,3.0,True,0.0,13374507.0,13374507.0
2012,Arkansas State,Sun Belt,10.0,3.0,True,30954.666666666668,15307308.0,15307308.0
2013,Arkansas State,Sun Belt,8.0,5.0,True,31461.83333333333,16281038.0,16281038.0
2014,Arkansas State,Sun Belt,7.0,6.0,True,28793.5,20151793.0,20151793.0
2015,Arkansas State,Sun Belt,9.0,4.0,True,24184.25,29211785.0,29211785.0
2016,Arkansas State,Sun Belt,8.0,5.0,True,21603.83333333333,43102044.0,43102044.0
2017,Arkansas State,Sun Belt,7.0,5.0,True,25735.272727272728,39459027.0,39459027.0
2018,Arkansas State,Sun Belt,8.0,5.0,True,24124.08333333333,40098989.0,40098989.0
2019,Arkansas State,Sun Belt,8.0,5.0,True,25808.08333333333,35550592.0,35550592.0
2020,Arkansas State,Sun Belt,4.0,7.0,False,5234.181818181818,36282680.0,36282680.0
2021,Arkansas State,Sun Belt,2.0,10.0,False,16551.75,29226736.0,29226736.0
2022,Arkansas State,Sun Belt,3.0,9.0,False,24700.5,32376515.0,32376515.0
2023,Arkansas State,Sun Belt,6.0,7.0,True,22339.58333333333,32840538.0,32840538.0
2005,Army,FBS Independents,4.0,7.0,False,5369.272727272727,21620575.0,20493126.0
2006,Army,FBS Independents,3.0,9.0,False,40692.583333333336,24395909.0,23209804.0
2007,Army,FBS Independents,3.0,9.0,False,36492.0,24643884.0,23479378.0
2008,Army,FBS Independents,3.0,9.0,False,35559.5,29398220.0,24888651.0
2009,Army,FBS Independents,5.0,7.0,False,0.0,28103137.0,25968123.0
2010,Army,FBS Independents,7.0,6.0,True,0.0,29664348.0,25784801.0
2011,Army,FBS Independents,3.0,9.0,False,0.0,34342038.0,27420476.0
2012,Army,FBS Independents,2.0,10.0,False,33628.916666666664,31498762.0,26301738.0
2013,Army,FBS Independents,3.0,9.0,False,34136.666666666664,37289204.0,27898527.0
2014,Army,FBS Independents,4.0,8.0,False,34714.666666666664,37143082.0,32532108.0
2015,Army,FBS Independents,2.0,10.0,False,38329.41666666666,41202176.0,37210925.0
2016,Army,FBS Independents,8.0,5.0,True,35025.416666666664,44191038.0,38651909.0
2017,Army,FBS Independents,10.0,3.0,True,39104.833333333336,,
2018,Army,FBS Independents,11.0,2.0,True,36000.333333333336,,
2019,Army,FBS Independents,5.0,8.0,False,38660.69230769231,,
2020,Army,FBS Independents,9.0,3.0,True,4976.181818181818,,
2021,Army,FBS Independents,9.0,4.0,True,33831.25,,
2022,Army,FBS Independents,6.0,6.0,False,30810.58333333333,66061475.0,56779409.0
2023,Army,FBS Independents,6.0,6.0,False,39816.16666666666,63479608.0,64412229.0
2005,Auburn,SEC,9.0,3.0,True,0.0,57395152.0,61314114.0
2006,Auburn,SEC,11.0,2.0,True,78829.91666666667,66599925.0,63249119.0
2007,Auburn,SEC,9.0,4.0,True,78658.75,81799266.0,68910465.0
2008,Auburn,SEC,5.0,7.0,False,75859.41666666667,89311824.0,69841200.0
2009,Auburn,SEC,8.0,5.0,True,0.0,87001413.0,85480343.0
2010,Auburn,SEC,14.0,0.0,True,0.0,92611558.0,90908902.0
2011,Auburn,SEC,8.0,5.0,True,0.0,103982441.0,100497784.0
2012,Auburn,SEC,3.0,9.0,False,75756.83333333333,105951251.0,96315831.0
2013,Auburn,SEC,12.0,2.0,True,85362.07692307692,103680609.0,103126413.0
2014,Auburn,SEC,8.0,5.0,True,82067.08333333333,113716004.0,126470602.0
2015,Auburn,SEC,7.0,6.0,True,78416.16666666667,124657247.0,115498047.0
2016,Auburn,SEC,8.0,5.0,True,84674.5,140070593.0,124864399.0
2017,Auburn,SEC,10.0,4.0,True,83988.15384615384,147511034.0,132885979.0
2018,Auburn,SEC,8.0,5.0,True,81118.83333333333,147620569.0,139798191.0
2019,Auburn,SEC,9.0,4.0,True,84172.25,152455416.0,139260711.0
2020,Auburn,SEC,6.0,5.0,True,17118.7,153703749.0,135816431.0
2021,Auburn,SEC,6.0,7.0,True,88683.25,123546999.0,133289885.0
2022,Auburn,SEC,5.0,7.0,False,82871.33333333333,174568442.0,151590763.0
2023,Auburn,SEC,6.0,7.0,True,78442.16666666667,195301922.0,192030692.0
2005,Ball State,Mid-American,4.0,7.0,False,0.0,15146885.0,14803177.0
2006,Ball State,Mid-American,5.0,7.0,False,26695.0,16192664.0,16189583.0
2007,Ball State,Mid-American,7.0,6.0,True,24684.08333333333,17300783.0,17144947.0
2008,Ball State,Mid-American,12.0,2.0,True,19049.0,22125129.0,19441780.0
2009,Ball State,Mid-American,2.0,10.0,False,0.0,20498088.0,19616773.0
2010,Ball State,Mid-American,4.0,8.0,False,0.0,20132632.0,17347944.0
2011,Ball State,Mid-American,6.0,6.0,False,0.0,20483476.0,19506118.0
2012,Ball State,Mid-American,9.0,4.0,True,23579.0,21129858.0,20174709.0
2013,Ball State,Mid-American,10.0,3.0,True,15496.75,21315999.0,22727145.0
2014,Ball State,Mid-American,5.0,7.0,False,17033.333333333332,23424359.0,25245450.0
2015,Ball State,Mid-American,3.0,9.0,False,19030.416666666668,22800600.0,25495662.0
2016,Ball State,Mid-American,4.0,8.0,False,14432.083333333334,25542539.0,27226309.0
2017,Ball State,Mid-American,2.0,10.0,False,15664.416666666666,26098565.0,27410745.0
2018,Ball State,Mid-American,4.0,8.0,False,19705.75,28634103.0,28443728.0
2019,Ball State,Mid-American,5.0,7.0,False,15586.666666666666,27678480.0,27911602.0
2020,Ball State,Mid-American,7.0,1.0,True,409.2857142857143,27390253.0,27333912.0
2021,Ball State,Mid-American,6.0,7.0,True,20017.416666666668,23376436.0,23243252.0
2022,Ball State,Mid-American,5.0,7.0,False,19811.33333333333,28804851.0,28526892.0
2023,Ball State,Mid-American,4.0,8.0,False,22383.75,30273216.0,30482485.0
2005,Boise State,Western Athletic,9.0,4.0,True,2550.25,16912927.0,16852312.0
2006,Boise State,Western Athletic,13.0,0.0,True,23277.33333333333,20593090.0,20666105.0
2007,Boise State,Western Athletic,10.0,3.0,True,34256.75,26236398.0,25275959.0
2008,Boise State,Western Athletic,12.0,1.0,True,30792.58333333333,25578051.0,25607867.0
2009,Boise State,Western Athletic,14.0,0.0,True,0.0,29936613.0,30207049.0
2010,Boise State,Western Athletic,12.0,1.0,True,0.0,36932392.0,36655700.0
2011,Boise State,Mountain West,12.0,1.0,True,0.0,37524722.0,37293281.0
2012,Boise State,Mountain West,11.0,2.0,True,35173.666666666664,43440905.0,43172225.0
2013,Boise State,Mountain West,8.0,5.0,True,38496.083333333336,43166257.0,43292010.0
2014,Boise State,Mountain West,12.0,2.0,True,29976.615384615383,45706336.0,45680801.0
2015,Boise State,Mountain West,9.0,4.0,True,32189.75,43858018.0,44227893.0
2016,Boise State,Mountain West,10.0,3.0,True,30128.916666666668,46611768.0,46741012.0
2017,Boise State,Mountain West,11.0,3.0,True,34001.692307692305,45486486.0,45456789.0
2018,Boise State,Mountain West,10.0,3.0,False,31107.53846153846,48109196.0,47846748.0
2019,Boise State,Mountain West,12.0,2.0,True,31449.30769230769,50599483.0,49758472.0
2020,Boise State,Mountain West,5.0,2.0,False,811.1428571428571,51881769.0,51188405.0
2021,Boise State,Mountain West,7.0,5.0,False,34778.25,39920577.0,40126524.0
2022,Boise State,Mountain West,10.0,4.0,True,25103.0,50569147.0,50328947.0
2023,Boise State,Mountain West,8.0,6.0,True,35510.92307692308,60653009.0,58257005.0
2005,Bowling Green,Mid-American,6.0,5.0,False,0.0,16809396.0,16411529.0
2006,Bowling Green,Mid-American,4.0,8.0,False,25399.58333333333,17615851.0,17200166.0
2007,Bowling Green,Mid-American,8.0,5.0,True,23290.33333333333,19995372.0,17132784.0
2008,Bowling Green,Mid-American,6.0,6.0,False,19490.0,19387291.0,17789360.0
2009,Bowling Green,Mid-American,7.0,6.0,True,0.0,17814168.0,18138104.0
2010,Bowling Green,Mid-American,2.0,10.0,False,0.0,18850778.0,17850240.0
2011,Bowling Green,Mid-American,5.0,7.0,False,0.0,20157361.0,18031088.0
2012,Bowling Green,Mid-American,8.0,5.0,True,25710.58333333333,20731957.0,18387277.0
2013,Bowling Green,Mid-American,10.0,4.0,True,18829.07692307692,23611448.0,20701488.0
2014,Bowling Green,Mid-American,8.0,6.0,True,14833.46153846154,23469664.0,23306965.0
2015,Bowling Green,Mid-American,10.0,4.0,True,23115.615384615383,21824966.0,21823070.0
2016,Bowling Green,Mid-American,4.0,8.0,False,25113.58333333333,22836309.0,23719835.0
2017,Bowling Green,Mid-American,2.0,10.0,False,20918.5,25303291.0,23753571.0
2018,Bowling Green,Mid-American,3.0,9.0,False,20923.0,24673957.0,24393090.0
2019,Bowling Green,Mid-American,3.0,9.0,False,23799.08333333333,26001184.0,25780900.0
2020,Bowling Green,Mid-American,0.0,5.0,False,836.4,25090216.0,24681709.0
2021,Bowling Green,Mid-American,4.0,8.0,False,22827.916666666668,20238705.0,20119961.0
2022,Bowling Green,Mid-American,6.0,7.0,True,16665.583333333332,25573967.0,25353769.0
2023,Bowling Green,Mid-American,7.0,6.0,True,22948.416666666668,30310123.0,30154915.0
2005,Buffalo,Mid-American,1.0,10.0,False,0.0,18689948.0,18685142.0
2006,Buffalo,Mid-American,2.0,10.0,False,26508.58333333333,20894644.0,20888277.0
2007,Buffalo,Mid-American,5.0,7.0,False,15563.916666666666,22071264.0,22068328.0
2008,Buffalo,Mid-American,8.0,6.0,True,21950.0,21859641.0,21854374.0
2009,Buffalo,Mid-American,5.0,7.0,False,0.0,25944465.0,25942006.0
2010,Buffalo,Mid-American,2.0,10.0,False,0.0,25385009.0,16973584.0
2011,Buffalo,Mid-American,3.0,9.0,False,0.0,26228030.0,26221691.0
2012,Buffalo,Mid-American,4.0,8.0,False,22126.75,27480211.0,27478169.0
2013,Buffalo,Mid-American,8.0,5.0,True,23849.666666666668,28964050.0,28960127.0
2014,Buffalo,Mid-American,5.0,6.0,False,18995.81818181818,31277980.0,31134149.0
2015,Buffalo,Mid-American,5.0,7.0,False,22692.416666666668,32181552.0,31909540.0
2016,Buffalo,Mid-American,2.0,10.0,False,17890.666666666668,34267566.0,34219719.0
2017,Buffalo,Mid-American,6.0,6.0,False,16348.0,35892221.0,35883884.0
2018,Buffalo,Mid-American,10.0,4.0,True,18241.153846153848,40834648.0,40763071.0
2019,Buffalo,Mid-American,8.0,5.0,True,23084.916666666668,45977952.0,45933053.0
2020,Buffalo,Mid-American,6.0,1.0,True,324.8333333333333,38769015.0,36849290.0
2021,Buffalo,Mid-American,4.0,8.0,False,19296.166666666668,36268695.0,36214285.0
2022,Buffalo,Mid-American,7.0,6.0,True,15001.0,40192255.0,39537565.0
2023,Buffalo,Mid-American,3.0,9.0,False,17706.083333333332,39856875.0,40433875.0
2005,California,Pac-10,8.0,4.0,True,5994.363636363636,43886422.0,51774040.0
2006,California,Pac-10,10.0,3.0,True,64514.41666666666,48444444.0,53722726.0
2007,California,Pac-10,7.0,6.0,True,60859.0,60826660.0,60826660.0
2008,California,Pac-10,9.0,4.0,True,57644.5,64333065.0,64282315.0
2009,California,Pac-10,8.0,5.0,True,0.0,71149584.0,72738751.0
2010,California,Pac-10,5.0,7.0,False,0.0,69345931.0,69345912.0
2011,California,Pac-12,7.0,6.0,True,0.0,65243053.0,62669411.0
2012,California,Pac-12,3.0,9.0,False,57993.16666666666,71183404.0,68578362.0
2013,California,Pac-12,1.0,11.0,False,53463.833333333336,94487380.0,90126390.0
2014,California,Pac-12,5.0,7.0,False,42839.5,90262142.0,90108023.0
2015,California,Pac-12,8.0,5.0,True,54858.583333333336,85539904.0,94016545.0
2016,California,Pac-12,5.0,7.0,False,46559.16666666666,81653024.0,103381770.0
2017,California,Pac-12,5.0,7.0,False,45071.083333333336,90976576.0,106959739.0
2018,California,Pac-12,7.0,6.0,True,43248.25,91247489.0,110558630.0
2019,California,Pac-12,8.0,5.0,True,46347.66666666666,87500758.0,106676734.0
2020,California,Pac-12,1.0,3.0,False,0.0,105044582.0,101829452.0
2021,California,Pac-12,5.0,7.0,False,40761.5,91997368.0,88539090.0
2022,California,Pac-12,4.0,8.0,False,42903.583333333336,118212179.0,114485848.0
2023,California,Pac-12,6.0,7.0,True,43677.75,126090323.0,134872860.0
2005,Central Michigan,Mid-American,6.0,5.0,False,0.0,16735819.0,16735819.0
2006,Central Michigan,Mid-American,10.0,4.0,True,28834.92307692308,17759667.0,17476651.0
2007,Central Michigan,Mid-American,8.0,6.0,True,26132.846153846152,20434174.0,20283635.0
2008,Central Michigan,Mid-American,8.0,5.0,True,29792.83333333333,21103460.0,21636204.0
2009,Central Michigan,Mid-American,12.0,2.0,True,0.0,22224245.0,22418292.0
2010,Central Michigan,Mid-American,3.0,9.0,False,0.0,24703101.0,24104699.0
2011,Central Michigan,Mid-American,3.0,9.0,False,0.0,23500552.0,23423660.0
2012,Central Michigan,Mid-American,7.0,6.0,True,16536.916666666668,25738861.0,25738861.0
2013,Central Michigan,Mid-American,6.0,6.0,False,25063.416666666668,27680624.0,27187504.0
2014,Central Michigan,Mid-American,7.0,6.0,True,20412.0,29281777.0,29281777.0
2015,Central Michigan,Mid-American,7.0,6.0,True,21262.08333333333,27862443.0,28491818.0
2016,Central Michigan,Mid-American,6.0,7.0,True,20992.83333333333,31151419.0,29618926.0
2017,Central Michigan,Mid-American,8.0,5.0,True,17738.916666666668,34692784.0,31792125.0
2018,Central Michigan,Mid-American,1.0,11.0,False,21571.08333333333,39989495.0,32540008.0
2019,Central Michigan,Mid-American,8.0,6.0,True,21994.0,34942574.0,33642870.0
2020,Central Michigan,Mid-American,3.0,3.0,False,246.0,65167264.0,33641127.0
2021,Central Michigan,Mid-American,9.0,4.0,True,23357.58333333333,23954837.0,27939171.0
