team,year,total_revenue,total_expense
Air Force,2005,15481081,14330645
Air Force,2006,27085224,26606845
Air Force,2007,29024404,28064038
Air Force,2008,30604249,31174646
Air Force,2009,33616930,34945674
Air Force,2010,34915251,35081470
Air Force,2011,39823782,39430241
Air Force,2012,44490055,43156740
Air Force,2013,39031348,39497086
Air Force,2014,46577840,41438813
Air Force,2015,50191669,43481337
Air Force,2016,,
Air Force,2017,59577780,50112617
Air Force,2018,60101907,53530468
Air Force,2019,60009782,54192115
Air Force,2020,65517457,61445937
Air Force,2021,65914558,58680602
Air Force,2022,76587462,67422052
Air Force,2023,76587462,67422052
Akron,2005,14021914,13896456
Akron,2006,15301573,15751464
Akron,2007,17308323,16992718
Akron,2008,18711948,18858092
Akron,2009,20670298,20124113
Akron,2010,24012416,24498336
Akron,2011,25583730,25344459
Akron,2012,27217473,27225730
Akron,2013,27954164,28407737
Akron,2014,32774266,32050686
Akron,2015,31771467,34070009
Akron,2016,34587155,35378884
Akron,2017,35331217,33895809
Akron,2018,34601000,34873226
Akron,2019,37194485,37275978
Akron,2020,34130530,33564968
Akron,2021,26562185,25667906
Akron,2022,30498496,30290134
Akron,2023,30498496,30290134
Alabama,2005,62287192,56989608
Alabama,2006,67730762,60636961
Alabama,2007,87589777,77106548
Alabama,2008,123769841,123370004
Alabama,2009,100302512,90868971
Alabama,2010,130542153,98961214
Alabama,2011,124498616,105068152
Alabama,2012,124899945,108204867
Alabama,2013,143776550,116607913
Alabama,2014,153234273,120184128
Alabama,2015,148911674,132354913
Alabama,2016,164009745,145277366
Alabama,2017,174307419,158646962
Alabama,2018,177481937,166533013
Alabama,2019,164090889,185317681
Alabama,2020,189282549,173141125
Alabama,2021,179800409,170191728
Alabama,2022,214365357,195881911
Alabama,2023,199913763,212030188
App State,2015,29695016,30648792
App State,2016,31712155,31523281
App State,2017,35058621,35065566
App State,2018,36940867,36853981
App State,2019,37996512,37773447
App State,2020,34946428,34999267
App State,2021,33202111,33425114
App State,2022,38542661,38565701
App State,2023,46465570,46379642
App State,2005,7634231,8011932
App State,2006,9110063,9042340
App State,2007,10485631,10513168
App State,2008,13208247,13687188
App State,2009,15236543,15785349
App State,2010,15865704,16185310
App State,2011,17748605,15454170
App State,2012,18644606,17238578
App State,2013,19775727,21395675
App State,2014,19414754,19320283
Arizona,2005,39655034,40760160
Arizona,2006,42303655,40479457
Arizona,2007,47519159,43267008
Arizona,2008,49241506,46211393
Arizona,2009,53372629,53177538
Arizona,2010,58118950,56919148
Arizona,2011,59663128,58506308
Arizona,2012,78024219,76802678
Arizona,2013,68510915,68253136
Arizona,2014,99911034,95524260
Arizona,2015,87135331,80706045
Arizona,2016,85356236,87254614
Arizona,2017,90976758,91756963
Arizona,2018,95867717,103329464
Arizona,2019,105091389,100565835
Arizona,2020,97814344,101084625
Arizona,2021,101776916,93431241
Arizona,2022,124353539,124944926
Arizona,2023,143089052,142814430
Arizona State,2005,41334126,39749018
Arizona State,2006,50268561,48897603
Arizona State,2007,54735433,54832410
Arizona State,2008,54833194,54296003
Arizona State,2009,51892026,53032149
Arizona State,2010,56505165,57905546
Arizona State,2011,55294113,57080884
Arizona State,2012,59855508,65587903
Arizona State,2013,65673955,65600187
Arizona State,2014,74729269,74553104
Arizona State,2015,84440040,83873516
Arizona State,2016,94662743,89086777
Arizona State,2017,101579860,98825395
Arizona State,2018,113636755,126782387
Arizona State,2019,121698840,118404377
Arizona State,2020,106989879,117912821
Arizona State,2021,117675310,103772499
Arizona State,2022,121079615,124008192
Arizona State,2023,114507872,141717696
Arkansas,2005,47322459,45916377
Arkansas,2006,49514971,48736994
Arkansas,2007,65416732,62169914
Arkansas,2008,66174916,64632499
Arkansas,2009,65835778,64609733
Arkansas,2010,78072620,71801905
Arkansas,2011,91768112,79392988
Arkansas,2012,99757482,82470473
Arkansas,2013,99770840,92131933
Arkansas,2014,96793972,94640408
Arkansas,2015,114172847,97106539
Arkansas,2016,124981042,105633576
Arkansas,2017,129680808,112902474
Arkansas,2018,130126110,127369722
Arkansas,2019,137497788,129620361
Arkansas,2020,123357572,123857351
Arkansas,2021,132396607,111597676
Arkansas,2022,152513755,144319041
Arkansas,2023,167366549,166552649
Arkansas State,2005,7214040,9424316
Arkansas State,2006,7821660,10416949
Arkansas State,2007,7827764,10392939
Arkansas State,2008,8392852,10388098
Arkansas State,2009,9975076,11051532
Arkansas State,2010,9478903,13332956
Arkansas State,2011,13374507,13374507
Arkansas State,2012,15307308,15307308
Arkansas State,2013,16281038,16281038
Arkansas State,2014,20151793,20151793
Arkansas State,2015,29211785,29211785
Arkansas State,2016,43102044,43102044
Arkansas State,2017,39459027,39459027
Arkansas State,2018,40098989,40098989
Arkansas State,2019,35550592,35550592
Arkansas State,2020,36282680,36282680
Arkansas State,2021,29226736,29226736
Arkansas State,2022,32376515,32376515
Arkansas State,2023,32840538,32840538
Army,2005,21620575,20493126
Army,2006,24395909,23209804
Army,2007,24643884,23479378
Army,2008,29398220,24888651
Army,2009,28103137,25968123
Army,2010,29664348,25784801
Army,2011,34342038,27420476
Army,2012,31498762,26301738
Army,2013,37289204,27898527
Army,2014,37143082,32532108
Army,2015,41202176,37210925
Army,2016,44191038,38651909
Army,2017,,
Army,2018,,
Army,2019,,
Army,2020,,
Army,2021,,
Army,2022,66061475,56779409
Army,2023,63479608,64412229
Auburn,2005,57395152,61314114
Auburn,2006,66599925,63249119
Auburn,2007,81799266,68910465
Auburn,2008,89311824,69841200
Auburn,2009,87001413,85480343
Auburn,2010,92611558,90908902
Auburn,2011,103982441,100497784
Auburn,2012,105951251,96315831
Auburn,2013,103680609,103126413
Auburn,2014,113716004,126470602
Auburn,2015,124657247,115498047
Auburn,2016,140070593,124864399
Auburn,2017,147511034,132885979
Auburn,2018,147620569,139798191
Auburn,2019,152455416,139260711
Auburn,2020,153703749,135816431
Auburn,2021,123546999,133289885
Auburn,2022,174568442,151590763
Auburn,2023,195301922,192030692
Ball State,2005,15146885,14803177
Ball State,2006,16192664,16189583
Ball State,2007,17300783,17144947
Ball State,2008,22125129,19441780
Ball State,2009,20498088,19616773
Ball State,2010,20132632,17347944
Ball State,2011,20483476,19506118
Ball State,2012,21129858,20174709
Ball State,2013,21315999,22727145
Ball State,2014,23424359,25245450
