Year,Team,Conference,Wins,Losses,Bowl Game,Average Attendance
2005,Tulane,Conference USA,2,9,False,2894.090909090909
2005,Idaho State,Big Sky,5,6,False,59519.0
2005,Howard,MEAC,3,6,False,
2005,Stony Brook,NEC,6,5,False,
2005,Kansas State,Big 12,5,6,False,0.0
2005,Montana State,Big Sky,7,4,False,43857.0
2005,Wofford,Southern,6,5,False,54630.0
2005,Idaho,Western Athletic,2,9,False,0.0
2005,Indiana,Big Ten,4,7,False,22081.727272727272
2005,Rice,Conference USA,1,10,False,0.0
2005,Washington State,Pac-10,4,7,False,0.0
2005,Davidson,Pioneer,4,6,False,
2005,Florida State,ACC,8,5,True,12658.416666666666
2005,UT Martin,OVC,5,5,False,17174.0
2005,Morehead State,Pioneer,8,4,False,
2005,Savannah St,FCS Independents,0,11,False,
2005,East Carolina,Conference USA,5,6,False,0.0
2005,Chattanooga,Southern,6,5,False,30772.0
2005,Western Kentucky,MVFC,6,5,False,0.0
2005,Florida International,Sun Belt,5,6,False,2894.0
2005,Indiana State,MVFC,0,11,False,44681.0
2005,Sam Houston,Southland,3,7,False,32910.0
2005,NC State,ACC,7,5,True,5158.818181818182
2005,Georgia,SEC,10,3,True,14770.583333333334
2005,Pittsburgh,Big East,5,6,False,3921.3636363636365
2005,Miami (OH),Mid-American,7,4,False,0.0
2005,Gardner-Webb,Big South,5,6,False,
2005,Auburn,SEC,9,3,True,0.0
2005,West Virginia,Big East,11,1,True,4966.363636363636
2005,Northwestern State,Southland,5,5,False,19533.5
2005,Massachusetts,Atlantic 10,6,4,False,34055.0
2005,Virginia,ACC,7,5,True,0.0
2005,Norfolk State,MEAC,4,5,False,
2005,McNeese,Southland,5,4,False,28174.0
2005,Wisconsin,Big Ten,10,3,True,0.0
2005,Toledo,Mid-American,9,3,True,1826.5454545454545
2005,Utah,Mountain West,7,5,True,0.0
2005,Georgetown,Patriot,4,7,False,
2005,Baylor,Big 12,5,6,False,3325.0
2005,Memphis,Conference USA,7,5,True,2797.4545454545455
2005,Lafayette,Patriot,8,4,False,
2005,Hampton,MEAC,9,1,False,
2005,Texas,Big 12,13,0,True,5925.583333333333
2005,Columbia,Ivy,2,8,False,
2005,Missouri State,MVFC,4,6,False,66424.0
2005,Southern Miss,Conference USA,7,5,True,3935.7272727272725
2005,Duquesne,Metro Atlantic Athletic,7,3,False,
2005,VMI,Big South,3,8,False,10126.0
2005,Montana,Big Sky,8,4,False,58169.0
2005,Murray State,OVC,2,9,False,41143.0
2005,Army,FBS Independents,4,7,False,5369.272727272727
2005,Mississippi State,SEC,3,8,False,3740.2727272727275
2005,Central Michigan,Mid-American,6,5,False,0.0
2005,Miami,ACC,9,3,True,0.0
2005,Arizona,Pac-10,3,8,False,4975.272727272727
2005,Delaware State,MEAC,5,4,False,
2005,Florida A&M,MEAC,6,4,False,29817.0
2005,Alcorn State,SWAC,0,1,False,
2005,The Citadel,Southern,4,7,False,64712.0
2005,Rutgers,Big East,7,5,True,2946.5454545454545
2005,Dayton,Pioneer,9,1,False,
2005,Marshall,Conference USA,4,7,False,2282.0
2005,Northern Arizona,Big Sky,3,8,False,54728.0
2005,South Carolina State,MEAC,7,2,False,
2005,Cal Poly,Great West,9,4,False,18536.0
2005,Kansas,Big 12,7,5,True,0.0
2005,Troy,Sun Belt,4,7,False,8878.272727272728
2005,UTEP,Conference USA,8,4,True,3889.4545454545455
2005,Navy,FBS Independents,8,4,True,0.0
2005,Butler,Pioneer,0,11,False,
2005,Southeast Missouri State,OVC,2,9,False,6228.0
2005,Jacksonville State,OVC,6,5,False,23109.0
2005,UL Monroe,Sun Belt,5,6,False,1975.090909090909
2005,UCF,Conference USA,8,5,True,1250.75
2005,Yale,Ivy,4,6,False,
2005,Maine,Atlantic 10,5,6,False,77469.0
2005,Duke,ACC,1,10,False,920.5454545454545
2005,North Carolina A&T,MEAC,2,7,False,
2005,Georgia Tech,ACC,7,5,True,0.0
2005,Nevada,Western Athletic,9,3,True,0.0
2005,Western Michigan,Mid-American,7,4,False,2227.0
2005,Hawai'i,Western Athletic,5,7,False,0.0
2005,Jackson State,SWAC,0,1,False,
2005,Arkansas State,Sun Belt,6,6,True,1561.2727272727273
2005,USC,Pac-10,12,1,True,0.0
2005,Stanford,Pac-10,5,6,False,2840.909090909091
2005,Tennessee State,OVC,2,8,False,
2005,California,Pac-10,8,4,True,5994.363636363636
2005,Jacksonville,Pioneer,4,4,False,
2005,Houston,Conference USA,6,6,True,2797.090909090909
2005,Northern Illinois,Mid-American,7,5,False,2176.9166666666665
2005,Western Carolina,Southern,5,4,False,22637.0
2005,Northeastern,Atlantic 10,2,9,False,
2005,UAlbany,NEC,5,6,False,
2005,Alabama,SEC,10,2,True,0.0
2005,Tennessee Tech,OVC,4,7,False,26123.0
2005,Ohio State,Big Ten,10,2,True,0.0
2005,Purdue,Big Ten,5,6,False,0.0
2005,Bethune-Cookman,MEAC,5,4,False,
2005,UCLA,Pac-10,10,2,True,0.0
2005,Samford,OVC,4,6,False,36575.0
2005,Middle Tennessee,Sun Belt,4,7,False,0.0
2005,Michigan State,Big Ten,5,6,False,6733.0
2005,Tennessee,SEC,5,6,False,0.0
2005,Southern Utah,Great West,1,9,False,
2005,Louisiana Tech,Western Athletic,7,4,False,0.0
2005,New Mexico State,Western Athletic,0,12,False,0.0
2005,Eastern Illinois,OVC,9,3,False,52630.0
2005,Bowling Green,Mid-American,6,5,False,0.0
2005,Cornell,Ivy,6,4,False,
2005,Western Illinois,MVFC,5,6,False,20092.0
2005,Texas State,Southland,11,2,False,72741.0
2005,La Salle,Metro Atlantic Athletic,4,7,False,
2005,SE Louisiana,Southland,4,6,False,16826.0
2005,Louisville,Big East,9,3,True,0.0
2005,Fordham,Patriot,2,10,False,
2005,Eastern Michigan,Mid-American,4,7,False,0.0
2005,Portland State,Big Sky,6,5,False,36433.0
2005,Marist,Metro Atlantic Athletic,7,4,False,
2005,Louisiana,Sun Belt,6,5,False,1576.4545454545455
2005,Lehigh,Patriot,8,3,False,
2005,Stephen F. Austin,Southland,5,6,False,
2005,Eastern Washington,Big Sky,7,5,False,11878.0
2005,Arizona State,Pac-10,7,5,True,0.0
2005,Ohio,Mid-American,4,7,False,0.0
2005,Oregon State,Pac-10,5,6,False,3842.090909090909
2005,Oregon,Pac-10,10,2,True,5288.090909090909
2005,Utah State,Western Athletic,3,8,False,0.0
2005,Air Force,Mountain West,4,7,False,0.0
2005,Wyoming,Mountain West,4,7,False,0.0
2005,Vanderbilt,SEC,5,6,False,3495.090909090909
2005,Iowa State,Big 12,7,5,True,6278.636363636364
2005,Buffalo,Mid-American,1,10,False,0.0
2005,Ole Miss,SEC,3,8,False,4570.181818181818
2005,South Florida,Big East,6,6,True,3920.181818181818
2005,UConn,Big East,5,6,False,3636.3636363636365
2005,Notre Dame,FBS Independents,9,3,True,0.0
2005,Harvard,Ivy,7,3,False,
2005,St. Francis (PA),NEC,3,8,False,
2005,North Texas,Sun Belt,2,9,False,0.0
2005,Texas A&M,Big 12,5,6,False,6612.818181818182
2005,Towson,Atlantic 10,7,4,False,
2005,Northern Iowa,MVFC,10,3,False,70585.0
2005,Wagner,NEC,6,5,False,
2005,Monmouth,NEC,6,4,False,
2005,LSU,SEC,11,2,True,7617.833333333333
2005,Minnesota,Big Ten,7,5,True,12478.181818181818
2005,Arkansas,SEC,4,7,False,14470.0
2005,Illinois State,MVFC,7,4,False,44058.0
2005,San Diego,Pioneer,11,1,False,
2005,Cincinnati,Big East,4,7,False,2057.909090909091
